TeamId,Gmina,GminaNazwa,Powiat,PowiatNazwa,PollingStationNumber,A.01,A.01.1,A.02,A.03,A.04,A.05,A.06-inne,A.06-naklejka foliowa,A.06-opaska samozaciskowa,A.06-opieczetowany i podpisany pasek papieru,A.07,A.08,A.08.1,A.09,A.10,A.10.1,A.11,A.12,A.13,A.13.1,A.14,A.15,A.16,A.16.1,A.16.2,A.17,A.17.1,A.18,A.19,A.A,A.B,A.C,B.00,B.01,B.02,B.03,B.03.1,B.04,B.04.1,B.04.2,B.05,B.05.1,B.06,B.07,B.08,B.09,B.10,B.11,B.12,B.13,B.13.1,B.14,B.15,B.16,B.16.1-inne,B.16.1-naklejka foliowa,B.16.1-opaska samozaciskowa,B.16.1-opieczetowany i podpisany pasek papieru,B.16.2,B.17,B.18,B.18.1,B.18.2,B.19,B.19.1,B.20,B.20.1,B.21,B.22,B.22.1,B.22.2,B.23,B.23.1,B.24,B.25,B.26,B.A,B.B,B.C,C1.01,C1.01.1,C1.01.2,C1.03,C1.04,C1.04.1,C1.05,C1.06,C1.06.1,C1.07.a,C1.07.b,C1.07.c,C1.07.d,C1.08,C1.08.1,C1.09,C1.10,C1.11,C1.11.1,C1.12,C1.13,C1.14,C1.A,C1.B,C1.C,C2.0,C2.01,C2.01.1,C2.02,C2.03,C2.03+,C2.04,C2.04.1,C2.05,C2.06,C2.06.1,C2.07,C2.08,C2.08.1,C2.09,C2.10,C2.10.1,C2.11,C2.12,C2.13,C2.14,C2.15,C2.16,C2.A,C2.B,C2.C,Cg.00,Cg.01,Cg.02,Cg.02.1,Cg.03,Cg.04,Cg.05,Cg.05.1,Cg.05.2,Cg.05.3,Cg.05.4,Cg.06,Cg.06.1,Cg.07.a,Cg.07.b,Cg.08,Cg.08.1,Cg.09,Cg.09.1,Cg.09.2,Cg.10,Cg.11,Cg.11.1,Cg.11.2,Cg.12,Cg.13,Cg.14,Cg.A,Cg.B,Cg.C,Cp.00,Cp.01,Cp.02,Cp.02.1,Cp.03,Cp.04,Cp.05,Cp.05.1,Cp.05.2,Cp.05.3,Cp.05.4,Cp.06,Cp.06.1,Cp.07.a,Cp.07.b,Cp.08,Cp.08.1,Cp.09,Cp.09.1,Cp.09.2,Cp.10,Cp.11,Cp.11.1,Cp.11.2,Cp.12,Cp.13,Cp.14,Cp.A,Cp.B,Cp.C,Cs.00,Cs.01,Cs.02,Cs.02.1,Cs.03,Cs.04,Cs.05,Cs.05.1,Cs.05.2,Cs.05.3,Cs.05.4,Cs.06,Cs.06.1,Cs.07.a,Cs.07.b,Cs.08,Cs.08.1,Cs.09,Cs.09.1,Cs.09.2,Cs.10,Cs.11,Cs.11.1,Cs.11.2,Cs.12,Cs.13,Cs.14,Cs.A,Cs.B,Cs.C,Cw.00,Cw.01,Cw.02,Cw.02.1,Cw.03,Cw.04,Cw.05,Cw.05.1,Cw.05.2,Cw.05.3,Cw.05.4,Cw.06,Cw.06.1,Cw.07.a,Cw.07.b,Cw.08,Cw.08.1,Cw.09,Cw.09.1,Cw.09.2,Cw.10,Cw.11,Cw.11.1,Cw.11.2,Cw.12,Cw.13,Cw.14,Cw.A,Cw.B,Cw.C,D.0,D.01,D.02,D.02.1,D.02.2,D.02.3,D.03,D.03.1,D.03.2,D.03.3,D.04,D.05,D.05.1,D.06,D.07,D.08,D.09,D.09.1,D.10,D.11,D.A,D.B,D.C,QA.01,QA.02,QA.03,QA.04,QA.05,QB.01,QB.02,QB.03,QB.04,QB.05,QB.06,QC1.01,QC1.02,QC1.03,QC1.04,QC1.08,QC1.09,QC1.10,QC1.11
11,146507,Praga-Poludnie,146501,Warszawa,454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,tak,tak,nie,nie,nie,,,tak,maz zaufania PIS,tak,zawsze lub prawie zawsze,czasami,0,tak,nie,tak,czasami,nie,nie,zawsze lub prawie zawsze,nie,,,,,tak,nie,nie,,,tak,nie bylo reakcji,nie,,czasami,nie,,,nie,,tak,tak,8:30,dobra,dobra,dobra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1110,5,5,5,tak,26,,,,,,,,
12,143206,gm. Ozarów Mazowiecki,143200,warszawski zachodni,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,tak,tak,nie,nie,nie,,,nie,,tak,zawsze lub prawie zawsze,czasami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,672,9,9,,,,,,,,,,,
12,143206,gm. Ozarów Mazowiecki,143200,warszawski zachodni,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,tak,tak,nie,nie,nie,,,nie,,tak,zawsze lub prawie zawsze,czesto,0,tak,tak,tak,zawsze lub prawie zawsze,nie,nie,zawsze lub prawie zawsze,tak,,,,,tak,tak,nie,,,,,,,czasami,nie,,,,,tak,nie,9:08,bardzo dobra,dobra,dobra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,869,9,8,5,tak,5,,,,,,,,
12,146517,Wlochy,146501,Warszawa,656,tak,,tak,tak,nie,tak,,,,,tak,tak,,tak,tak,,tak,tak,nie,,nie,nie,nie,,,nie,Nie było takich osób,,7:45,bardzo dobra,dobra,dobra,0,tak,nie,nie,nie,nie,,,nie,,tak,zawsze lub prawie zawsze,zawsze lub prawie zawsze,9,tak,tak,tak,zawsze lub prawie zawsze,,,zawsze lub prawie zawsze,tak,,naklejka foliowa,opaska samozaciskowa,,tak,nie,nie,,,nie,,nie,,nigdy lub prawie nigdy,nie,,,nie,,tak,nie,,bardzo dobra,bardzo dobra,bardzo dobra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1312,6,3,2,tak,1312,6,3,,tak,,,,,,,,,
13,146510,Sródmiescie,146501,Warszawa,38,tak,,tak,tak,nie,tak,naklejka i opieczetowanie,,,,nie,tak,,tak,tak,,tak,tak,nie,,nie,nie,nie,,,nie,,nie,7.00,dobra,dobra,dobra,0,tak,tak,nie,nie,nie,,,nie,,tak,zawsze lub prawie zawsze,zawsze lub prawie zawsze,1,tak,tak,tak,czesto,nie,nie,zawsze lub prawie zawsze,tak,,naklejka foliowa,,opieczetowany i podpisany pasek papieru,tak,nie,nie,,,tak,brak reakcji,nie,,nigdy lub prawie nigdy,nie,,,nie,,tak,,8.05,dobra,dobra,dobra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1841,6,2,5,tak,1841,6,2,2,tak,21,,,,,,,,
13,146519,Zoliborz,146501,Warszawa,333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tak,tak,nie,tak,nie,,,nie,,tak,zawsze lub prawie zawsze,zawsze lub prawie zawsze,0,tak,tak,tak,,,nie,zawsze lub prawie zawsze,tak,,,,,nie,nie,nie,,,,,nie,,nigdy lub prawie nigdy,nie,,,nie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1648,6,6,6,tak,45,,,,,,,,
14,140310,gm. Pilawa,140300,garwolinski,6,tak,,tak,tak,tak,tak,,naklejka foliowa,,,tak,tak,,tak,tak,,tak,tak,nie,,nie,,nie,,,nie,,nie,7:10,bardzo dobra,bardzo dobra,bardzo dobra,2,tak,tak,nie,,nie,,,nie,,tak,zawsze lub prawie zawsze,zawsze lub prawie zawsze,0,tak,tak,tak,zawsze lub prawie zawsze,,nie,zawsze lub prawie zawsze,tak,,naklejka foliowa,,,tak,nie,nie,,,nie,,nie,,nigdy lub prawie nigdy,nie,,,nie,,tak,nie,7.30,bardzo dobra,bardzo dobra,bardzo dobra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,661,9,7,5,tak,661,9,7,6,tak,2,,,,,,,,
14,140313,gm. Wilga,140300,garwolinski,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,tak,tak,tak,tak,tak,około 20 plakatów i banerów wyborczych przed wejściem do lokalu (po 2 stronie ulicy),nie,nie,,tak,czasami,zawsze lub prawie zawsze,0,tak,tak,tak,zawsze lub prawie zawsze,,,zawsze lub prawie zawsze,tak,,naklejka foliowa,opaska samozaciskowa,opieczetowany i podpisany pasek papieru,tak,tak,nie,,,nie,,nie,,nigdy lub prawie nigdy,nie,,tak,nie,,tak,tak,9:00,zla,zla,dobra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,995,8,5,5,tak,4,,,,,,,,
15,141804,gm. Piaseczno,141800,piaseczynski,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tak,nie,nie,nie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,3,tak,,,,,,,,,
15,146510,Sródmiescie,146501,Warszawa,30,tak,,tak,nie,nie,nie,,,,,nie,tak,,tak,tak,,tak,tak,tak,Obserwatorium Wyborcze,nie,nie,nie,,,nie,wyborca sugerował innym wyborcom głosowanie na konkretnego kandydata,tak,07:18,zla,zla,zla,,tak,tak,nie,nie,nie,,,tak,obserwatorium wyborcze,tak,zawsze lub prawie zawsze,czasami,0,tak,nie,tak,zawsze lub prawie zawsze,tak,nie,zawsze lub prawie zawsze,nie,brak,,,,nie,tak,nie,,,nie,,nie,,nigdy lub prawie nigdy,nie,,,nie,,tak,,07:26,zla,zla,zla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,7,5,6,tak,3000,7,,6,tak,15,,,,,,,,
16,141205,gm. Debe Wielkie,141200,minski,4,tak,1-15 min,tak,tak,nie,tak,,,opaska samozaciskowa,,tak,tak,nie,tak,tak,1-15 min,tak,tak,nie,n/a,nie,tak,nie,n/a,nie,nie,n/a,,8:30,bardzo dobra,bardzo dobra,bardzo dobra,nie zapytalismy,tak,tak,nie,tak,nie,n/a,n/a,nie,n/a,tak,zawsze lub prawie zawsze,zawsze lub prawie zawsze,0,tak,tak,tak,zawsze lub prawie zawsze,nie,nie,zawsze lub prawie zawsze,tak,,,opaska samozaciskowa,,tak,tak,nie,tak,n/a,nie,n/a,nie,n/a,nigdy lub prawie nigdy,nie,n/a,tak,nie,n/a,tak,nie,8:30,bardzo dobra,bardzo dobra,bardzo dobra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1839,6,5,6,tak,1839,6,5,6,tak,3,,,,,,,,
16,141211,gm. Minsk Mazowiecki,141200,minski,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,tak,tak,tak,tak,nie,n/a,n/a,tak,maż zaufania,tak,zawsze lub prawie zawsze,zawsze lub prawie zawsze,2,tak,tak,tak,zawsze lub prawie zawsze,tak,nie,zawsze lub prawie zawsze,tak,,,opaska samozaciskowa,,tak,tak,nie,tak,n/a,nie,n/a,nie,n/a,nigdy lub prawie nigdy,nie,n/a,tak,nie,na,tak,nie,9:45,bardzo dobra,bardzo dobra,bardzo dobra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1554,9,6,7,tak,2,,,,,,,,
16,141215,m. Sulejówek,141200,minski,2,nie,1-15 min,tak,tak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2203,7,4,,,,,,,,,,,,,,,,
16,141215,m. Sulejówek,141200,minski,3,nie,1-15 min,tak,tak,nie,tak,,naklejka foliowa,,,tak,tak,nie,tak,tak,1-15 min,tak,tak,nie,nie,tak,tak,nie,nie,nie,nie,nie,nie,7:25,dobra,dobra,dobra,0,tak,tak,tak,tak,nie,n/a,n/a,nie,n/a,tak,zawsze lub prawie zawsze,nigdy lub prawie nigdy,0,tak,tak,tak,zawsze lub prawie zawsze,nie,nie,zawsze lub prawie zawsze,tak,,naklejka foliowa,,,tak,tak,nie,tak,n/a,nie,n/a,nie,n/a,nigdy lub prawie nigdy,nie,n/a,tak,nie,n/a,tak,nie,7:25,bardzo dobra,bardzo dobra,bardzo dobra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2203,7,4,4,tak,2203,7,2,4,tak,7,,,,,,,,
17,146513,Ursynów,146501,Warszawa,596,tak,,tak,tak,nie,tak,,,,,nie,tak,tak,tak,tak,,tak,tak,nie,,tak,tak,nie,,,nie,,nie,07:00,dobra,bardzo dobra,bardzo dobra,3,tak,nie,tak,tak,nie,,,nie,,tak,zawsze lub prawie zawsze,zawsze lub prawie zawsze,0,tak,nie,tak,czasami,nie,nie,zawsze lub prawie zawsze,tak,,,,,nie,tak,nie,,,nie,,nie,,nigdy lub prawie nigdy,nie,,,nie,,tak,nie,07:35,dobra,bardzo dobra,bardzo dobra,,,,,,,,,,tak,tak,tak,tak,nie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2107,5,2,1,nie,2107,5,2,1,nie,,,,,,,,,
18,143302,gm. Grebków,143300,wegrowski,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,143302,gm. Grebków,143300,wegrowski,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1068,,,,,,,,,,,,,
18,143309,gm. Wierzbno,143300,wegrowski,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,tak,tak,tak,tak,nie,,,nie,,tak,zawsze lub prawie zawsze,zawsze lub prawie zawsze,0,tak,tak,tak,czesto,tak,nie,zawsze lub prawie zawsze,tak,,,opaska samozaciskowa,,tak,tak,nie,,,nie,,nie,,nigdy lub prawie nigdy,nie,,,nie,,tak,nie,9:48,dobra,dobra,dobra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,584,8,8,4,tak,18,,,,,,,,
18,143402,m. Marki,143400,wolominski,1,tak,,tak,tak,tak,tak,,,opaska samozaciskowa,,nie,tak,,tak,tak,,tak,tak,nie,,tak,tak,nie,,,tak,"na 3 minuty do lokalu wszedl starszy pan, ktory bardzo chcial zaglosowac, bo autobus. zostal wyproszony, poprawne zachowanie przewodniczacej, mimo tego ze nie mial zlych zamiarow i pomylil lokal",tak,7:15,dobra,dobra,dobra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1852,9,8,9,tak,,,,,,,,,,,,,,
19,140402,gm. Gostynin,140400,gostyninski,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,tak,nie,tak,tak,nie,,,nie,,tak,zawsze lub prawie zawsze,zawsze lub prawie zawsze,,tak,tak,tak,czesto,nie,nie,zawsze lub prawie zawsze,tak,,,,,tak,nie,nie,,,nie,,nie,,nigdy lub prawie nigdy,nie,,,nie,,tak,nie,10.00,dobra,dobra,dobra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1211,8,6,6,tak,,,,,,,,,
19,146508,Praga-Pólnoc,146501,Warszawa,380,tak,,tak,tak,tak,tak,,,,,,tak,,tak,tak,,tak,tak,nie,,nie,,nie,,,nie,,nie,06.57,dobra,dobra,dobra,0,tak,tak,nie,nie,nie,,,,,tak,,,,tak,nie,tak,czasami,nie,nie,zawsze lub prawie zawsze,tak,,,,,,nie,nie,,,nie,,nie,,nigdy lub prawie nigdy,nie,,,nie,,tak,nie,7.30,dobra,dobra,dobra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1536,7,1,3,tak,1536,7,1,4,tak,10,,,,,,,,
20,142802,gm. Brochów,142800,sochaczewski,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tak,tak,,,,,,tak,,tak,zawsze lub prawie zawsze,nigdy lub prawie nigdy,,tak,nie,tak,czasami,nie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1061,9,,,tak,,,,,,,,,
20,146519,Zoliborz,146501,Warszawa,335,tak,1-15 min,tak,nie,nie,tak,,,,,tak,tak,nie,tak,tak,,tak,tak,nie,,tak,tak,nie,,,nie,,tak,7:30,dobra,dobra,dobra,14,tak,tak,tak,tak,nie,,,nie,,tak,zawsze lub prawie zawsze,czesto,,tak,tak,tak,zawsze lub prawie zawsze,tak,,zawsze lub prawie zawsze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1890,Do 6.30 ciagle 5 z 7.,4,3,tak,1890,7,4,3,tak,14,,,,,,,,
21,146505,Mokotów,146501,Warszawa,130,tak,1-15 min,tak,tak,nie,tak,,naklejka foliowa,,,tak,tak,tak,tak,tak,1-15 min,tak,tak,nie,,tak,tak,nie,,tak,tak,,nie,7:00,dobra,dobra,dobra,7,tak,tak,tak,tak,nie,,,nie,,tak,zawsze lub prawie zawsze,zawsze lub prawie zawsze,0,tak,tak,tak,zawsze lub prawie zawsze,,,zawsze lub prawie zawsze,tak,,naklejka foliowa,,,tak,nie,nie,,,nie,,nie,,nigdy lub prawie nigdy,nie,,,tak,"po otwarciu lokalu przyszło dwóch policjantów, sprawdzili czy wszystko w porządku w rozmowie z przewodniczącym",tak,nie,7:37,dobra,dobra,dobra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2579,5,3,2,tak,2759,5,3,2,tak,7,,,,,,,,
22,141915,gm. Wyszogród,141900,plocki,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok.50,tak,nie,nie,nie,nie,,,tak,Komitet Wyborczy Iwona Gortat,tak,,,,,,tak,,,,,tak,,,opaska samozaciskowa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,830,9,7,,tak,,,,,,,,,
22,146504,Bielany,146501,Warszawa,777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,tak,tak,nie,nie,nie,,,nie,,tak,zawsze lub prawie zawsze,zawsze lub prawie zawsze,,tak,,tak,czasami,nie,nie,zawsze lub prawie zawsze,tak,,naklejka foliowa,,,nie,nie,nie,,,tak,brak reakcji,nie,,nigdy lub prawie nigdy,nie,,,nie,,tak,nie,8:40,dobra,zla,zla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2994,6,3,2,tak,24,,,,,,,,
